Parent Category,Sub Category,Parts
Steering,Steering Column/ Steering Wheel,
Steering,Steering Gear Box,
Steering,Steering Hydraulics / Hoses,Steering Pump
Steering,Steering Linkage / Tie rod,
Transmission,Axles/ Shafts,Drive Shaft
Transmission,Clutch,Clutch Disc
Transmission,Clutch,Clutch plates
Transmission,Differential,
Transmission,Gaskets,
Transmission,Gearbox,Automatic Transmission
Transmission,Gearbox,Manual Transmission
Transmission,Gearbox,"Oil Pump, Transmission"
Transmission,Joints,
Transmission,Mounting/ Housing,
Fuel Supply System,Carburettor System,
Fuel Supply System,Fuel Filter,
Fuel Supply System,Fuel Pump,
Fuel Supply System,Fuel Tank/ Lines,
Fuel Supply System,Injection System,Injection Pump
Fuel Supply System,Injection System,Injector
Fuel Supply System,LPG/ CNG System,
Air Conditioning / Heater,AC kits,
Air Conditioning / Heater,Cabin Air Filter,
Air Conditioning / Heater,AC compressor,
Air Conditioning / Heater,Condenser,
Air Conditioning / Heater,Expansion Valve,
Air Conditioning / Heater,Heater,
Air Conditioning / Heater,V-belts,
Wheel Drive,Rims,
Wheel Drive,Tyres,
Wheel Drive,Wheel Bearing,Front Wheel Bearing
Wheel Drive,Wheel Bearing,Rear Wheel Bearing
Wheel Drive,Wheel Hub,Front Wheel Hub
Wheel Drive,Wheel Hub,Rear Wheel Hub
Exhaust System,Emission Control Systems,
Exhaust System,Exhaust Manifold,
Exhaust System,Exhaust Pipe,
Exhaust System,Exhaust System Complete,
Exhaust System,Lambda Sensor,
Exhaust System,Muffler/ Silencer,
Universal,Equipment,
